gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,geometry,traffic_noise,railway_noise,airport_noise,heating_score
21931,75,Lietaus g.,20,Lazdynai,Vilnius,25.18786,54.66301,Lietaus g. 20,POINT (25.18786 54.66301),40-44,35-39,0-34,
28809,865,Sutemų g.,2,Lazdynai,Vilnius,25.18833,54.66487,Sutemų g. 2,POINT (25.18833 54.66487),45-49,35-39,0-34,
21931,75,Lietaus g.,18,Lazdynai,Vilnius,25.18819,54.66294,Lietaus g. 18,POINT (25.18819 54.66294),45-49,35-39,0-34,
28266,832,Lūkesčių g.,55A,Lazdynai,Vilnius,25.19283,54.66506,Lūkesčių g. 55A,POINT (25.19283 54.66506),35-39,35-39,0-34,
21932,76,Žaros g.,34,Lazdynai,Vilnius,25.1913,54.66674,Žaros g. 34,POINT (25.1913 54.66674),45-49,35-39,0-34,
28266,832,Lūkesčių g.,8,Lazdynai,Vilnius,25.18919,54.66575,Lūkesčių g. 8,POINT (25.18919 54.66575),45-49,0-34,0-34,
28266,832,Lūkesčių g.,7,Lazdynai,Vilnius,25.19002,54.66614,Lūkesčių g. 7,POINT (25.19002 54.66614),45-49,0-34,0-34,
28266,832,Lūkesčių g.,25,Lazdynai,Vilnius,25.19075,54.66543,Lūkesčių g. 25,POINT (25.19075 54.66543),40-44,0-34,0-34,
21932,76,Žaros g.,28,Lazdynai,Vilnius,25.19121,54.66635,Žaros g. 28,POINT (25.19121 54.66635),40-44,0-34,0-34,
28275,842,Pažagiškių g.,45,Lazdynai,Vilnius,25.18568,54.66408,Pažagiškių g. 45,POINT (25.18568 54.66408),50-54,0-34,0-34,
28275,842,Pažagiškių g.,36,Lazdynai,Vilnius,25.18581,54.6648,Pažagiškių g. 36,POINT (25.18581 54.6648),50-54,0-34,0-34,
21932,76,Žaros g.,7,Lazdynai,Vilnius,25.19239,54.66688,Žaros g. 7,POINT (25.19239 54.66688),50-54,0-34,0-34,
28275,842,Pažagiškių g.,72,Lazdynai,Vilnius,25.18506,54.6586,Pažagiškių g. 72,POINT (25.18506 54.6586),0-34,35-39,0-34,
28275,842,Pažagiškių g.,52,Lazdynai,Vilnius,25.18506,54.66108,Pažagiškių g. 52,POINT (25.18506 54.66108),50-54,35-39,0-34,
28275,842,Pažagiškių g.,57A,Lazdynai,Vilnius,25.18549,54.65989,Pažagiškių g. 57A,POINT (25.18549 54.65989),45-49,35-39,0-34,
28809,865,Sutemų g.,20,Lazdynai,Vilnius,25.18635,54.66403,Sutemų g. 20,POINT (25.18635 54.66403),35-39,35-39,0-34,
28284,851,Šarmos g.,15,Lazdynai,Vilnius,25.18434,54.65933,Šarmos g. 15,POINT (25.18434 54.65933),40-44,0-34,0-34,
28275,842,Pažagiškių g.,22,Lazdynai,Vilnius,25.1869,54.66587,Pažagiškių g. 22,POINT (25.1869 54.66587),50-54,0-34,0-34,
28289,856,Vakaro g.,31,Lazdynai,Vilnius,25.18939,54.6651,Vakaro g. 31,POINT (25.18939 54.6651),40-44,0-34,0-34,
28284,851,Šarmos g.,12,Lazdynai,Vilnius,25.18373,54.65981,Šarmos g. 12,POINT (25.18373 54.65981),40-44,0-34,0-34,
28284,851,Šarmos g.,9,Lazdynai,Vilnius,25.18431,54.65986,Šarmos g. 9,POINT (25.18431 54.65986),40-44,0-34,0-34,
