origin_lon,origin_lat,distance_akropolis,time_akropolis,distance_cathedral,time_cathedral,distance_kirtimai,time_kirtimai,distance_shopping_center,time_shopping_center,distance_train_station,time_train_station
25.18642,54.74839,8.193950000000001,19.528333333333332,13.18576,25.2745,17.20829,23.911166666666666,12.04266,22.53216666666667,16.62731,27.252
25.29474,54.67324,6.84936,12.701333333333334,2.82373,7.1555,12.353530000000001,20.785833333333336,4.33829,9.943166666666666,0.9017000000000001,2.283666666666667
25.31733,54.68223,7.01504,14.4395,3.38653,7.563999999999999,14.53864,26.671166666666668,3.87963,9.643666666666666,3.0868200000000003,8.169
25.29139,54.77895,11.59843,19.269333333333336,12.756260000000001,24.813,26.78418,36.31333333333334,11.731399999999999,22.842499999999998,16.58803,28.639833333333335
25.14241,54.61516,17.634040000000002,25.510166666666667,15.23288,26.2545,1.9435,3.9508333333333336,17.8899,25.79866666666667,13.6098,23.380666666666666
25.1421,54.61503,17.634040000000002,25.510166666666667,15.23288,26.2545,1.9435,3.9508333333333336,17.8899,25.79866666666667,13.6098,23.380666666666666
25.22311,54.74762,5.74474,11.382,9.284379999999999,17.765,16.08661,18.828333333333333,7.8385299999999996,15.353666666666667,10.85108,20.38266666666667
25.34275,54.72575,7.51558,14.796,6.9118699999999995,12.693666666666667,21.68673,34.3475,7.11923,13.758666666666667,9.550930000000001,18.28533333333333
25.34851,54.73091,7.2227,15.627166666666666,7.70362,15.054833333333333,21.85241,35.89533333333333,7.9109799999999995,16.119833333333336,10.34267,20.646666666666665
25.21192,54.73799,6.022600000000001,11.761166666666666,9.664209999999999,18.283166666666666,14.86281,17.3715,8.21836,15.872000000000002,14.28184,20.712333333333333
25.17138,54.71147,7.84076,15.634500000000001,9.23973,18.665333333333333,12.5293,17.163166666666665,8.09663,15.923,11.94833,20.504
25.17197,54.71146,7.732489999999999,15.380166666666666,9.131450000000001,18.411,12.42102,16.908833333333334,7.9883500000000005,15.6685,11.84005,20.249666666666666
25.17229,54.71108,7.6984200000000005,15.243833333333333,9.09738,18.27466666666667,12.38695,16.7725,7.95428,15.532333333333334,11.80598,20.113333333333333
25.17199,54.71272,7.91742,15.969166666666666,9.316379999999999,19.0,12.60595,17.497833333333332,8.17328,16.25766666666667,12.02498,20.838666666666665
25.17199,54.71192,7.86768,15.82,9.266639999999999,18.850833333333334,12.556209999999998,17.348666666666666,8.12354,16.108333333333334,11.97524,20.6895
25.27789,54.78741,14.88208,19.094833333333334,18.30499,25.84783333333333,30.06783,36.13883333333333,16.85914,23.436666666666667,19.871689999999997,28.465500000000002
25.14148,54.61478,17.634040000000002,25.510166666666667,15.23288,26.2545,1.9435,3.9508333333333336,17.8899,25.79866666666667,13.6098,23.380666666666666
25.14179,54.61491,17.634040000000002,25.510166666666667,15.23288,26.2545,1.9435,3.9508333333333336,17.8899,25.79866666666667,13.6098,23.380666666666666
25.22258,54.74742,5.74474,11.382,9.284379999999999,17.765,16.08661,18.828333333333333,7.8385299999999996,15.353666666666667,10.85108,20.38266666666667
25.22201,54.74721,5.74474,11.382,9.284379999999999,17.765,16.08661,18.828333333333333,7.8385299999999996,15.353666666666667,10.85108,20.38266666666667
25.30287,54.68128,6.70796,15.159500000000001,1.71536,5.8068333333333335,14.70031,26.73616666666667,3.39248,10.184166666666666,3.24849,8.233833333333333
25.28737,54.78591,10.15723,16.895666666666667,13.58014,23.648500000000002,25.34297,33.93966666666667,12.13428,21.237333333333332,15.14683,26.266166666666667
25.28696,54.78588,10.13077,16.789833333333334,13.553690000000001,23.542666666666666,25.31652,33.83383333333333,12.10783,21.131500000000003,15.120379999999999,26.16033333333333
25.28768,54.78593,10.17717,16.97533333333333,13.60008,23.728333333333335,25.36292,34.019333333333336,12.15423,21.317166666666665,15.166780000000001,26.346
25.28808,54.78596,10.20299,17.078666666666667,13.6259,23.831666666666667,25.388740000000002,34.12266666666667,12.18005,21.420333333333335,15.1926,26.449166666666667
25.28839,54.78598,10.22293,17.1585,13.645850000000001,23.911333333333335,25.40868,34.2025,12.19999,21.500166666666665,15.21254,26.529
25.38143,54.71729,12.16475,26.692833333333333,10.82674,23.117,22.563119999999998,42.10783333333333,11.03409,24.182000000000002,11.11129,23.6055
25.2888,54.78599,10.24897,17.262666666666668,13.67188,24.0155,25.434720000000002,34.306666666666665,12.226030000000002,21.604333333333333,15.23858,26.633166666666668
25.17118,54.7159,7.78822,16.584500000000002,9.91466,21.032666666666668,13.204229999999999,19.530666666666665,8.77156,18.290333333333333,12.62326,22.8715
25.17111,54.71595,7.781479999999999,16.5575,9.90792,21.005666666666666,13.19749,19.503666666666668,8.76482,18.263333333333332,12.616520000000001,22.8445
25.17144,54.71603,7.79486,16.611,9.92131,21.05933333333333,13.21088,19.557166666666667,8.77821,18.317,12.62991,22.898000000000003
25.17127,54.71587,7.9574,17.261166666666668,10.08384,21.709333333333333,13.37341,20.207333333333334,8.94074,18.967,12.792440000000001,23.548166666666667
25.17168,54.71567,7.94928,17.228666666666665,10.075719999999999,21.67683333333333,13.365290000000002,20.174833333333332,8.93262,18.9345,12.78432,23.515666666666668
25.17182,54.7159,7.82323,16.7245,9.94967,21.172666666666665,13.23924,19.670666666666666,8.806569999999999,18.430333333333333,12.65827,23.0115
25.17178,54.71564,7.8987799999999995,17.026666666666667,10.02522,21.474833333333333,13.3148,19.97283333333333,8.88213,18.7325,12.73382,23.313666666666666
25.17185,54.7156,7.900180000000001,17.032333333333334,10.026629999999999,21.4805,13.3162,19.9785,8.88353,18.738166666666665,12.73522,23.319333333333336
25.20209,54.64126,10.54638,17.292166666666667,8.770850000000001,16.57133333333333,6.74299,11.5505,9.49818,16.503833333333333,7.14777,13.6975
25.31906,54.63785,11.96448,22.10666666666667,8.37871,17.4895,16.18761,21.701999999999998,9.45341,19.348666666666666,6.01682,11.689
25.1537,54.72811,8.876479999999999,16.199,11.656,22.60533333333333,14.94557,21.103333333333335,10.5129,19.863,14.364600000000001,24.444166666666668
25.2177,54.61746,21.69417,27.526666666666664,11.613700000000001,24.8845,7.46542,10.812833333333334,12.291360000000001,26.663166666666665,8.88653,17.970000000000002
25.3533,54.6489,13.454799999999999,22.2505,7.57225,16.7885,19.32654,25.716833333333334,10.94373,19.49233333333333,7.507140000000001,11.832666666666666
25.21784,54.61758,21.69417,27.526666666666664,11.613700000000001,24.8845,7.46542,10.812833333333334,12.291360000000001,26.663166666666665,8.88653,17.970000000000002
25.21797,54.61775,21.69417,27.526666666666664,11.613700000000001,24.8845,7.46542,10.812833333333334,12.291360000000001,26.663166666666665,8.88653,17.970000000000002
25.21802,54.61829,21.71369,27.585166666666666,11.633209999999998,24.943166666666666,7.48493,10.871333333333332,12.31088,26.721833333333333,8.906049999999999,18.0285
25.21843,54.6182,21.70708,27.565333333333335,11.6266,24.923333333333336,7.47832,10.8515,12.30427,26.701999999999998,8.89944,18.008666666666667
25.21812,54.61792,21.69666,27.534166666666668,11.616190000000001,24.892,7.46791,10.820333333333334,12.29385,26.670666666666666,8.88902,17.977333333333334
25.21745,54.61822,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21764,54.61838,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21728,54.61807,21.73261,27.641833333333334,11.65214,24.999833333333335,7.5038599999999995,10.928166666666668,12.329799999999999,26.7785,8.92497,18.085166666666666
25.21701,54.61795,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21671,54.61811,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21644,54.61825,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21651,54.61836,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21709,54.61834,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21727,54.61849,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
25.21751,54.61885,21.73296,27.642833333333332,11.652479999999999,25.000833333333333,7.5042,10.929166666666667,12.33015,26.7795,8.92532,18.086166666666667
