origin_lon,origin_lat,destination_lon,destination_lat,distance_km,duration_min
25.399667,54.69468,25.1454,54.6264,20.71365,33.821666666666665
25.426335,54.687064,25.1454,54.6264,22.74468,37.19683333333333
25.249142,54.690532,25.1454,54.6264,13.61498,20.084333333333333
25.248883,54.734687,25.1454,54.6264,18.50897,22.276333333333334
25.282966,54.696846,25.1454,54.6264,15.204469999999999,23.726333333333333
25.282496,54.680436,25.1454,54.6264,13.62856,22.379666666666665
25.246695,54.632741,25.1454,54.6264,10.35434,13.242666666666667
25.288049,54.676779,25.1454,54.6264,12.742239999999999,23.446166666666667
25.254827,54.67664,25.1454,54.6264,11.46274,16.767833333333336
25.237943,54.727271,25.1454,54.6264,15.072700000000001,20.555666666666664
25.225473,54.707901,25.1454,54.6264,12.594479999999999,16.522833333333335
25.255551,54.630742,25.1454,54.6264,10.97901,14.400166666666667
25.246652,54.733912,25.1454,54.6264,18.32292,21.883333333333333
25.299153,54.701126,25.1454,54.6264,18.33138,27.572333333333333
25.362956,54.649853,25.1454,54.6264,19.38467,25.806333333333335
25.423163,54.695341,25.1454,54.6264,21.75073,35.25633333333334
25.281568,54.664279,25.1454,54.6264,13.20118,20.671333333333333
25.274693,54.679066,25.1454,54.6264,11.84151,19.796
25.237943,54.727271,25.1454,54.6264,15.072700000000001,20.555666666666664
25.264218,54.741667,25.1454,54.6264,20.29901,25.174166666666668
25.280155,54.666716,25.1454,54.6264,13.02896,19.509333333333334
25.273809,54.658394,25.1454,54.6264,13.06208,17.4405
25.280659,54.698949,25.1454,54.6264,15.40664,24.043833333333335
25.40234,54.692728,25.1454,54.6264,20.6301,33.56466666666667
25.292104,54.729413,25.1454,54.6264,19.29995,29.325
25.320296,54.675341,25.1454,54.6264,14.617809999999999,25.665333333333333
25.30843,54.669677,25.1454,54.6264,16.72696,24.589333333333332
25.290753,54.679467,25.1454,54.6264,14.08895,25.520833333333332
25.186363,54.711056,25.1454,54.6264,12.54195,16.326
25.276907,54.701718,25.1454,54.6264,15.48184,22.532833333333333
25.303743,54.672785,25.1454,54.6264,13.12274,23.495
25.31668,54.711695,25.1454,54.6264,18.59563,28.64783333333333
25.31668,54.711695,25.1454,54.6264,18.59563,28.64783333333333
25.39652,54.711004,25.1454,54.6264,21.15529,36.98283333333333
25.247819,54.675908,25.1454,54.6264,11.04457,16.1625
